ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS_distal
 LocalEnergy_B2_1070	-17.8	-8.9	4.7	0.9318181818181819
 LocalEnergy_B2_1071	-7.05	-14.65	4.4	0.8977272727272727
 LocalEnergy_B2_1072	-12.85	-29.7	0.5	0.975
 LocalEnergy_B2_1073	-9.85	-8.25	2.9	0.9613636363636363
 LocalEnergy_B2_1074	-2.2	-7.7	4.4	0.9636363636363636
 LocalEnergy_B2_1075	-8.35	-7.7	2.5	0.9636363636363636
 LocalEnergy_B2_1076	-9.1	-9.1	4.4	0.8363636363636363
 LocalEnergy_B2_1077	-13.6	-18.8	3.2	0.8204545454545454
 LocalEnergy_B2_1078	-7.25	-9.45	3.2	0.990909090909091
 LocalEnergy_B2_1079	-27.2	-10.45	1.6	0.875
 LocalEnergy_B2_107	-2.9	-15.9	3.6	0.9272727272727272
 LocalEnergy_B2_1080	-7.15	-29.9	1.7	0.9136363636363637
 LocalEnergy_B2_1081	-5.3	-12.4	4.0	1.0
 LocalEnergy_B2_1082	-8.85	-11.15	1.4	0.9181818181818182
 LocalEnergy_B2_1083	-11.15	-20.45	2.8	0.8886363636363637
 LocalEnergy_B2_1084	-5.8	-7.95	4.8	0.8681818181818182
 LocalEnergy_B2_1085	-6.05	-7.0	4.6	0.9454545454545454
 LocalEnergy_B2_1086	-8.65	-6.85	4.8	0.9409090909090909
 LocalEnergy_B2_1087	-16.35	-22.2	2.8	0.9022727272727272
 LocalEnergy_B2_1088	-21.95	-10.0	1.4	0.9590909090909091
 LocalEnergy_B2_1089	-14.9	-3.4	2.8	0.8568181818181819
 LocalEnergy_B2_108	-12.1	-15.7	3.2	0.9545454545454545
 LocalEnergy_B2_1090	-17.85	-14.45	4.0	0.8954545454545455
 LocalEnergy_B2_1091	-9.4	-5.35	1.6	0.9818181818181818
 LocalEnergy_B2_1092	-7.0	-13.75	4.0	0.8999999999999999
 LocalEnergy_B2_1093	-18.95	-8.35	4.6	0.9000000000000001
 LocalEnergy_B2_1094	-10.45	-9.95	4.7	0.9590909090909092
 LocalEnergy_B2_1095	-6.25	-18.6	2.8	0.9409090909090909
 LocalEnergy_B2_1096	-11.0	-18.5	2.8	0.9818181818181818
 LocalEnergy_B2_1097	-8.65	-11.55	2.4	0.9090909090909091
 LocalEnergy_B2_1098	-22.7	-14.3	3.6	0.8886363636363637
 LocalEnergy_B2_1099	-7.15	-20.15	3.2	0.8954545454545454
 LocalEnergy_B2_109	-20.45	-13.65	3.2	0.9818181818181817
 LocalEnergy_B2_10	-5.4	-4.95	4.4	0.7454545454545455
 LocalEnergy_B2_1100	-20.55	-10.25	1.7	0.9431818181818182
 LocalEnergy_B2_1101	-20.3	-9.9	4.6	1.0
 LocalEnergy_B2_1102	-16.05	-2.37	3.6	0.8590909090909091
 LocalEnergy_B2_1103	-25.55	-6.7	2.8	0.9795454545454545
 LocalEnergy_B2_1104	-3.3	-7.0	4.7	0.9863636363636363
 LocalEnergy_B2_1105	-11.4	-7.95	2.8	0.8704545454545455
 LocalEnergy_B2_1106	-23.15	-7.45	3.6	0.7977272727272727
 LocalEnergy_B2_1107	-12.4	-14.65	4.4	0.9727272727272727
 LocalEnergy_B2_1108	-19.8	-7.35	2.9	0.9545454545454545
 LocalEnergy_B2_1109	-13.5	-6.05	1.6	0.8772727272727272
 LocalEnergy_B2_110	-2.8	-15.2	4.0	0.9795454545454545
 LocalEnergy_B2_1110	-6.15	-17.95	4.4	0.9227272727272726
 LocalEnergy_B2_1111	-8.0	-3.3	3.2	0.8568181818181818
 LocalEnergy_B2_1112	-10.9	-15.15	2.8	0.9454545454545454
 LocalEnergy_B2_1113	-17.9	-9.9	4.0	0.9409090909090908
 LocalEnergy_B2_1114	-10.35	-3.95	4.7	0.8090909090909091
 LocalEnergy_B2_1115	-10.75	-7.9	4.7	0.9454545454545454
 LocalEnergy_B2_1116	-10.5	-3.3	2.8	0.7681818181818182
 LocalEnergy_B2_1117	-19.1	-2.37	4.7	0.8909090909090909
 LocalEnergy_B2_1118	-15.7	-3.95	3.2	0.8522727272727274
 LocalEnergy_B2_1119	-9.0	-18.1	4.6	0.9954545454545454
 LocalEnergy_B2_111	-6.9	-4.15	4.8	0.8136363636363636
 LocalEnergy_B2_1120	-10.15	-3.1	4.4	0.7909090909090909
 LocalEnergy_B2_1121	-8.65	-8.7	2.8	0.9022727272727272
 LocalEnergy_B2_1122	-6.9	-11.2	3.6	0.9272727272727272
 LocalEnergy_B2_1123	-6.7	-12.55	2.8	0.9227272727272727
 LocalEnergy_B2_1124	-20.9	-3.6	4.8	0.8090909090909091
 LocalEnergy_B2_1125	-7.9	-9.1	4.6	0.8681818181818182
 LocalEnergy_B2_1126	-4.2	-6.5	3.6	0.8363636363636364
 LocalEnergy_B2_1127	-15.3	-3.85	4.7	0.9045454545454545
 LocalEnergy_B2_1128	-11.15	-7.25	3.2	0.9636363636363636
 LocalEnergy_B2_1129	-9.25	-8.15	3.6	0.9681818181818183
 LocalEnergy_B2_112	-15.95	-21.4	3.2	0.9090909090909092
 LocalEnergy_B2_1130	-8.3	-3.95	3.6	0.8999999999999999
 LocalEnergy_B2_1131	-8.35	-6.25	4.8	0.9772727272727273
 LocalEnergy_B2_1132	-17.6	-14.55	2.8	0.9318181818181818
 LocalEnergy_B2_1133	-3.75	-16.9	2.5	0.9045454545454544
 LocalEnergy_B2_1134	-6.1	-9.9	2.8	0.9318181818181818
 LocalEnergy_B2_1135	-11.05	-13.5	2.8	0.9386363636363636
 LocalEnergy_B2_1136	-20.8	-5.2	0.5	0.8363636363636364
 LocalEnergy_B2_1137	-8.45	-6.9	3.6	0.8250000000000001
 LocalEnergy_B2_1138	-13.3	-12.87	4.0	0.990909090909091
 LocalEnergy_B2_1139	-8.45	-3.4	4.4	0.7545454545454546
 LocalEnergy_B2_113	-2.45	-13.35	2.8	0.9318181818181818
 LocalEnergy_B2_1140	-9.25	-5.7	4.0	0.9454545454545454
 LocalEnergy_B2_1141	-11.65	-27.1	3.2	0.9545454545454546
 LocalEnergy_B2_1142	-9.6	-9.65	4.4	0.8
 LocalEnergy_B2_1143	-6.05	-9.3	4.6	0.9409090909090909
 LocalEnergy_B2_1144	-9.1	-6.9	2.8	0.9022727272727272
 LocalEnergy_B2_1145	-8.15	-7.15	4.4	0.9863636363636363
 LocalEnergy_B2_1146	-7.55	-4.55	4.8	0.8999999999999999
 LocalEnergy_B2_1147	-5.05	-25.75	4.0	0.9931818181818182
 LocalEnergy_B2_1149	-12.65	-14.2	1.6	0.9
 LocalEnergy_B2_114	-6.7	-6.05	4.4	0.8818181818181818
 LocalEnergy_B2_1150	-9.2	-13.15	2.7	0.9090909090909091
 LocalEnergy_B2_1151	-7.6	-12.4	4.4	0.9340909090909091
 LocalEnergy_B2_1152	-3.37	-7.2	4.8	0.9090909090909091
 LocalEnergy_B2_1153	-13.25	-18.7	3.2	0.9863636363636364
 LocalEnergy_B2_1154	-4.95	-10.15	2.9	0.9454545454545454
 LocalEnergy_B2_1155	-4.75	-19.2	2.9	0.8931818181818181
 LocalEnergy_B2_1156	-1.9	-9.95	4.4	0.8886363636363636
 LocalEnergy_B2_1157	-19.3	-8.45	4.0	0.9727272727272727
 LocalEnergy_B2_1158	-23.65	-4.3	4.6	0.8545454545454545
 LocalEnergy_B2_1159	-16.2	-2.37	3.2	0.9090909090909091
 LocalEnergy_B2_115	-20.85	-10.85	3.6	0.7681818181818182
 LocalEnergy_B2_1160	-23.9	-14.1	0.373	0.8704545454545455
 LocalEnergy_B2_1161	-8.1	-4.3	4.7	0.9045454545454545
 LocalEnergy_B2_1162	-2.9	-5.7	4.0	0.9386363636363635
 LocalEnergy_B2_1163	-6.9	-7.8	4.4	0.8999999999999999
 LocalEnergy_B2_1164	-9.1	-9.0	4.4	0.9727272727272728
 LocalEnergy_B2_1165	-6.7	-10.65	4.0	0.9454545454545454
 LocalEnergy_B2_1166	-6.25	-12.6	4.6	0.9318181818181819
 LocalEnergy_B2_1167	-2.0	-20.1	2.8	0.9636363636363636
 LocalEnergy_B2_1168	-20.55	-8.9	2.8	0.9409090909090909
 LocalEnergy_B2_1169	-9.0	-17.1	3.2	0.925
 LocalEnergy_B2_116	-17.35	-10.0	3.2	0.9318181818181818
 LocalEnergy_B2_1170	-17.7	-3.3	4.6	0.75
 LocalEnergy_B2_1171	-10.8	-11.75	4.6	0.8181818181818181
 LocalEnergy_B2_1172	-4.7	-10.05	4.4	0.8909090909090909
 LocalEnergy_B2_1173	-19.85	-9.1	3.6	0.9409090909090908
 LocalEnergy_B2_1174	-2.35	-31.5	1.7	0.825
 LocalEnergy_B2_1175	-10.7	-21.3	4.0	0.9818181818181818
 LocalEnergy_B2_1176	-9.7	-16.7	3.2	0.9227272727272727
 LocalEnergy_B2_1177	-15.65	-5.3	4.4	0.9136363636363636
 LocalEnergy_B2_1178	-15.85	-8.8	3.2	0.9
 LocalEnergy_B2_1179	-6.2	-20.0	4.0	0.8863636363636364
 LocalEnergy_B2_117	-6.9	-15.15	3.6	0.95
 LocalEnergy_B2_1180	-16.05	-18.85	3.2	0.8931818181818182
 LocalEnergy_B2_1181	-9.9	-23.15	3.2	0.9
 LocalEnergy_B2_1182	-4.4	-10.9	3.6	0.9136363636363636
 LocalEnergy_B2_1183	-5.45	-5.85	3.2	0.759090909090909
 LocalEnergy_B2_1184	-5.2	-5.85	4.7	0.8954545454545455
 LocalEnergy_B2_1185	-17.5	-9.95	2.8	0.9590909090909091
 LocalEnergy_B2_1186	-11.05	-3.65	4.4	0.85
 LocalEnergy_B2_1187	-9.0	-5.4	3.6	0.6977272727272726
 LocalEnergy_B2_1188	-5.15	-23.3	0.273	0.9954545454545454
 LocalEnergy_B2_1189	-14.55	-10.45	1.7	0.9022727272727272
 LocalEnergy_B2_118	-3.5	-16.1	4.6	0.9363636363636363
 LocalEnergy_B2_1190	-17.05	-2.8	4.4	0.8409090909090909
 LocalEnergy_B2_1191	-17.9	-18.3	2.5	0.9818181818181819
 LocalEnergy_B2_1192	-15.35	-19.9	3.2	1.0
 LocalEnergy_B2_1193	-2.62	-15.25	2.9	0.884090909090909
 LocalEnergy_B2_1194	-14.05	-10.65	0.5	0.9363636363636364
 LocalEnergy_B2_1195	-12.4	-7.7	4.8	0.7659090909090909
 LocalEnergy_B2_1196	-4.3	-13.2	4.4	0.9090909090909091
 LocalEnergy_B2_1197	-9.2	-8.0	3.2	0.8272727272727272
 LocalEnergy_B2_1198	-7.05	-8.9	3.6	0.9272727272727272
 LocalEnergy_B2_1199	-6.15	-3.85	4.7	0.8363636363636363
 LocalEnergy_B2_119	-5.5	-11.25	3.6	0.9227272727272727
 LocalEnergy_B2_11	-14.0	-14.2	4.4	0.9772727272727273
 LocalEnergy_B2_1200	-5.05	-22.0	4.4	0.9090909090909091
 LocalEnergy_B2_1201	-2.9	-5.3	2.8	0.9159090909090909
 LocalEnergy_B2_1202	-5.7	-7.0	4.4	0.9068181818181817
 LocalEnergy_B2_1203	-9.7	-2.9	3.2	0.9090909090909091
 LocalEnergy_B2_1204	-5.87	-8.95	4.4	0.9045454545454545
 LocalEnergy_B2_1205	-2.4	-7.85	4.6	0.9818181818181819
 LocalEnergy_B2_1206	-17.0	-10.9	3.2	0.9681818181818181
 LocalEnergy_B2_1207	-5.6	-15.1	4.8	0.881818181818182
 LocalEnergy_B2_1208	-2.1	-17.55	2.8	0.9590909090909091
 LocalEnergy_B2_1209	-11.2	-8.0	4.6	0.8954545454545454
 LocalEnergy_B2_120	-11.8	-13.75	0.073	0.9227272727272727
 LocalEnergy_B2_1210	-14.15	-17.15	3.2	0.9772727272727273
 LocalEnergy_B2_1211	-14.05	-14.95	2.8	0.9636363636363636
 LocalEnergy_B2_1212	-15.95	-17.05	2.8	0.95
 LocalEnergy_B2_1213	-13.75	-4.65	4.4	0.8318181818181819
 LocalEnergy_B2_1214	-11.6	-12.75	3.6	0.9454545454545454
 LocalEnergy_B2_1215	-6.7	-22.5	4.6	0.9863636363636364
 LocalEnergy_B2_1216	-17.0	-7.35	1.4	0.975
 LocalEnergy_B2_1217	-18.35	-10.35	4.4	0.9545454545454546
 LocalEnergy_B2_1218	-13.95	-12.2	4.0	0.9818181818181818
 LocalEnergy_B2_1219	-11.9	-5.95	4.6	0.9113636363636364
 LocalEnergy_B2_121	-9.65	-9.1	4.4	0.959090909090909
 LocalEnergy_B2_1220	-11.05	-4.3	3.6	0.8863636363636364
 LocalEnergy_B2_1221	-2.9	-4.3	3.6	0.8681818181818182
 LocalEnergy_B2_1222	-13.3	-20.15	-1.077	0.9431818181818181
 LocalEnergy_B2_1223	-22.5	-6.0	3.6	0.890909090909091
 LocalEnergy_B2_1224	-7.55	-10.15	4.6	0.9227272727272727
 LocalEnergy_B2_1225	-9.35	-13.3	4.6	0.95
 LocalEnergy_B2_1226	-3.45	-14.3	3.2	0.8636363636363636
 LocalEnergy_B2_1227	-24.45	-3.3	4.7	0.8022727272727271
 LocalEnergy_B2_1228	-6.7	-10.9	4.8	0.8954545454545454
 LocalEnergy_B2_1229	-22.75	-1.57	3.2	0.8999999999999999
 LocalEnergy_B2_122	-10.75	-22.25	4.6	0.9363636363636364
 LocalEnergy_B2_1230	-2.8	-3.65	4.6	0.85
 LocalEnergy_B2_1231	-20.1	-15.8	3.2	0.8545454545454546
 LocalEnergy_B2_1232	-3.3	-7.05	3.6	0.9727272727272728
 LocalEnergy_B2_1233	-7.6	-30.15	3.6	0.9613636363636364
 LocalEnergy_B2_1234	-3.5	-21.0	4.8	0.9636363636363636
 LocalEnergy_B2_1235	-5.7	-6.85	4.0	0.8409090909090908
 LocalEnergy_B2_1236	-11.1	-5.6	4.0	0.8704545454545455
 LocalEnergy_B2_1237	-15.4	-20.3	0.073	0.9590909090909091
 LocalEnergy_B2_1238	-5.7	-15.2	4.6	0.9500000000000001
 LocalEnergy_B2_1239	-8.45	-16.25	3.6	0.8727272727272728
 LocalEnergy_B2_123	-7.45	-13.4	2.8	0.9068181818181817
 LocalEnergy_B2_1240	-9.55	-17.9	3.6	0.9386363636363636
 LocalEnergy_B2_1241	-12.4	-9.4	3.2	1.0
 LocalEnergy_B2_1242	-8.05	-6.65	2.9	0.6909090909090909
 LocalEnergy_B2_1243	-21.3	-3.65	4.0	0.8454545454545456
 LocalEnergy_B2_1244	-8.3	-6.25	4.8	0.9181818181818181
 LocalEnergy_B2_1245	-12.55	-9.35	2.8	0.8386363636363636
 LocalEnergy_B2_1247	-13.95	-10.25	3.6	0.9318181818181819
 LocalEnergy_B2_1248	-9.35	-12.4	4.0	0.9318181818181818
 LocalEnergy_B2_1249	-12.4	-7.05	2.8	0.9636363636363636
 LocalEnergy_B2_124	-2.0	-10.2	4.4	0.9772727272727273
 LocalEnergy_B2_1250	-7.4	-6.0	3.6	0.8772727272727272
 LocalEnergy_B2_1251	-4.6	-19.0	4.4	0.9863636363636363
 LocalEnergy_B2_1252	-8.57	-20.35	2.8	0.984090909090909
 LocalEnergy_B2_1253	-13.75	-10.75	4.4	0.990909090909091
 LocalEnergy_B2_1254	-23.0	-2.4	4.4	0.9045454545454545
 LocalEnergy_B2_1255	-8.35	-13.0	2.8	0.9818181818181818
 LocalEnergy_B2_1256	-29.0	-7.45	4.4	0.8636363636363636
 LocalEnergy_B2_1257	-6.9	-3.65	3.6	0.868181818181818
 LocalEnergy_B2_1258	-28.6	-4.95	1.7	0.9727272727272728
 LocalEnergy_B2_1259	-2.22	-4.75	2.7	0.8863636363636364
 LocalEnergy_B2_125	-6.35	-7.95	4.8	0.95
 LocalEnergy_B2_1260	-12.2	-17.45	4.4	0.9636363636363636
 LocalEnergy_B2_1261	-6.65	-10.8	0.4	0.9818181818181818
 LocalEnergy_B2_1262	-10.2	-6.75	2.5	0.8954545454545454
 LocalEnergy_B2_1263	-6.1	-13.0	3.6	0.9
 LocalEnergy_B2_1264	-12.55	-7.7	1.6	0.9863636363636364
 LocalEnergy_B2_1265	-8.15	-16.75	4.0	0.9068181818181819
 LocalEnergy_B2_1266	-5.45	-10.15	3.2	0.884090909090909
 LocalEnergy_B2_1267	-16.15	-7.7	4.6	0.8863636363636364
 LocalEnergy_B2_1268	-8.55	-24.95	3.2	0.9409090909090909
 LocalEnergy_B2_1269	-13.6	-20.2	2.8	0.9204545454545456
 LocalEnergy_B2_126	-21.05	-11.2	4.0	0.9909090909090909
 LocalEnergy_B2_1270	-5.5	-16.15	3.2	0.9454545454545455
 LocalEnergy_B2_1271	-11.5	-6.9	4.7	0.934090909090909
 LocalEnergy_B2_1272	-5.45	-14.25	4.4	0.9272727272727274
 LocalEnergy_B2_1273	-23.6	-16.1	2.8	0.9636363636363636
 LocalEnergy_B2_1274	-10.45	-8.45	1.4	0.884090909090909
 LocalEnergy_B2_1275	-9.35	-5.3	4.6	0.8909090909090909
 LocalEnergy_B2_1276	-4.5	-4.3	4.8	0.8272727272727273
 LocalEnergy_B2_1277	-13.6	-10.6	4.7	0.9272727272727271
 LocalEnergy_B2_1278	-14.45	-5.4	4.0	0.8181818181818181
 LocalEnergy_B2_1279	-20.75	-5.85	2.8	0.8590909090909091
 LocalEnergy_B2_127	-3.8	-27.8	3.2	0.9363636363636363
 LocalEnergy_B2_1280	-8.85	-20.15	3.2	0.990909090909091
 LocalEnergy_B2_1281	-9.1	-16.5	2.8	0.9659090909090909
 LocalEnergy_B2_1282	-7.25	-10.2	3.2	0.9090909090909092
 LocalEnergy_B2_1283	-5.5	-14.5	4.0	0.9
 LocalEnergy_B2_1284	-8.5	-4.6	4.4	0.8909090909090909
 LocalEnergy_B2_1285	-12.4	-13.85	4.0	0.9818181818181818
 LocalEnergy_B2_1286	-14.15	-6.7	-1.077	0.8909090909090909
 LocalEnergy_B2_1287	-19.2	-4.7	3.2	0.9363636363636364
 LocalEnergy_B2_1288	-18.2	-18.8	3.2	0.8113636363636364
 LocalEnergy_B2_1289	-13.25	-1.77	3.6	0.8636363636363636
 LocalEnergy_B2_128	-6.6	-5.95	4.6	0.85
 LocalEnergy_B2_1290	-7.65	-9.75	3.6	0.8863636363636365
 LocalEnergy_B2_1291	-16.15	-6.45	3.2	0.9818181818181819
 LocalEnergy_B2_1292	-2.4	-17.5	3.2	0.8818181818181818
 LocalEnergy_B2_1293	-9.35	-13.4	4.0	0.890909090909091
 LocalEnergy_B2_1294	-24.75	-2.4	3.6	0.8409090909090909
 LocalEnergy_B2_1295	-14.75	-7.6	4.7	0.9181818181818182
 LocalEnergy_B2_1296	-14.4	-7.9	4.4	0.7545454545454545
 LocalEnergy_B2_1297	-12.85	-6.45	4.8	0.9500000000000001
 LocalEnergy_B2_1298	-10.45	-6.05	0.073	0.9090909090909092
 LocalEnergy_B2_1299	-21.3	-2.0	3.6	0.8590909090909091
 LocalEnergy_B2_129	-4.95	-17.0	3.2	0.8931818181818182
 LocalEnergy_B2_12	-8.95	-2.4	4.8	0.8227272727272728
 LocalEnergy_B2_1300	-11.7	-21.5	4.4	0.9318181818181818
 LocalEnergy_B2_1301	-3.85	-16.6	2.8	0.8136363636363636
 LocalEnergy_B2_1302	-5.35	-22.4	4.0	0.9295454545454546
 LocalEnergy_B2_1303	-4.35	-11.45	2.9	0.8886363636363637
 LocalEnergy_B2_1304	-13.2	-7.8	4.7	0.881818181818182
 LocalEnergy_B2_1305	-15.15	-12.3	2.8	0.9272727272727272
 LocalEnergy_B2_1306	-12.1	-4.4	3.6	0.8500000000000001
 LocalEnergy_B2_1307	-4.2	-10.5	4.7	0.8431818181818183
 LocalEnergy_B2_1308	-2.1	-20.6	3.2	0.95
 LocalEnergy_B2_1309	-7.3	-10.9	3.6	0.9045454545454545
 LocalEnergy_B2_130	-9.1	-12.3	2.8	0.9909090909090909
 LocalEnergy_B2_1310	-12.3	-9.2	3.2	0.9772727272727273
 LocalEnergy_B2_1311	-2.1	-24.2	3.2	0.9954545454545454
 LocalEnergy_B2_1312	-13.8	-17.85	4.4	0.9227272727272727
 LocalEnergy_B2_1313	-11.8	-7.1	4.7	0.8818181818181818
 LocalEnergy_B2_1314	-8.45	-21.65	3.6	0.9818181818181818
 LocalEnergy_B2_1315	-5.8	-4.3	3.6	0.8409090909090909
 LocalEnergy_B2_1316	-14.95	-20.9	2.9	0.9136363636363636
 LocalEnergy_B2_1317	-17.9	-14.95	4.0	0.9068181818181817
 LocalEnergy_B2_1318	-3.5	-16.85	4.7	0.9272727272727272
 LocalEnergy_B2_1319	-24.25	-15.37	3.2	0.9863636363636363
 LocalEnergy_B2_131	-8.57	-4.45	4.8	0.95
 LocalEnergy_B2_1320	-11.5	-11.9	4.4	0.9363636363636364
 LocalEnergy_B2_1321	-19.65	-6.7	4.0	0.9681818181818183
 LocalEnergy_B2_1322	-14.3	-10.9	1.7	0.9681818181818183
 LocalEnergy_B2_1323	-10.0	-10.55	4.4	0.9681818181818183
 LocalEnergy_B2_1324	-14.25	-5.05	4.4	0.7590909090909091
 LocalEnergy_B2_1325	-6.2	-12.6	4.0	0.9409090909090909
 LocalEnergy_B2_1326	-4.05	-16.45	3.2	0.8863636363636364
 LocalEnergy_B2_1327	-18.0	-7.35	4.7	0.8727272727272727
 LocalEnergy_B2_1328	-16.7	-3.5	3.6	0.8272727272727274
 LocalEnergy_B2_1329	-11.37	-7.8	4.7	0.9681818181818181
 LocalEnergy_B2_132	-7.15	-9.75	0.273	0.9363636363636364
 LocalEnergy_B2_1330	-1.6	-18.05	3.2	0.9022727272727272
 LocalEnergy_B2_1331	-12.55	-3.65	2.8	0.8522727272727273
 LocalEnergy_B2_1332	-18.65	-7.4	4.4	0.9772727272727273
 LocalEnergy_B2_1333	-10.45	-13.6	4.6	0.9863636363636363
 LocalEnergy_B2_1334	-6.2	-25.65	4.4	0.990909090909091
 LocalEnergy_B2_1335	-3.1	-24.55	2.8	0.9159090909090909
 LocalEnergy_B2_1336	-23.6	-11.6	3.6	0.9522727272727273
 LocalEnergy_B2_1337	-11.75	-2.9	4.8	0.8318181818181818
