ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS_local
 LocalEnergy_I1.1_1071	-7.9	-13.05	4.8	0.7666666666666667
 LocalEnergy_I1.1_1072	-4.85	-6.5	3.9	1.0
 LocalEnergy_I1.1_1073	-12.5	-3.3	5.1	0.9761904761904762
 LocalEnergy_I1.1_1074	-16.35	-7.7	1.7	0.9846153846153846
 LocalEnergy_I1.1_1075	-11.75	-5.85	3.0	0.7593582887700535
 LocalEnergy_I1.1_1076	-14.05	-4.7	2.8	0.8333333333333334
 LocalEnergy_I1.1_1077	-9.0	-10.0	2.6	1.0
 LocalEnergy_I1.1_1078	-9.1	-16.95	6.3	0.8205128205128205
 LocalEnergy_I1.1_1079	-13.3	-6.35	2.3	0.9285714285714286
 LocalEnergy_I1.1_107	-15.35	-3.95	3.9	0.8264462809917356
 LocalEnergy_I1.1_1080	-3.7	-21.05	3.9	0.75
 LocalEnergy_I1.1_1081	-11.8	-11.2	3.7	1.0
 LocalEnergy_I1.1_1082	-10.6	-16.1	4.2	0.625
 LocalEnergy_I1.1_1083	-11.2	-5.4	5.2	1.0
 LocalEnergy_I1.1_1084	-13.35	-3.5	5.8	0.9693877551020408
 LocalEnergy_I1.1_1085	-17.7	-13.3	6.1	1.0
 LocalEnergy_I1.1_1086	-7.95	-3.7	4.6	0.6538461538461539
 LocalEnergy_I1.1_1087	-11.65	-9.4	8.0	1.0
 LocalEnergy_I1.1_1088	-7.05	-4.95	5.1	0.5246913580246914
 LocalEnergy_I1.1_1089	-8.9	-6.25	4.6	0.7916666666666667
 LocalEnergy_I1.1_108	-12.85	-4.7	5.3	0.4825174825174825
 LocalEnergy_I1.1_1090	-11.3	-7.8	5.8	1.0
 LocalEnergy_I1.1_1091	-7.8	-6.3	5.3	0.9711538461538463
 LocalEnergy_I1.1_1092	-10.5	-8.35	6.0	0.7440476190476191
 LocalEnergy_I1.1_1093	-19.0	-12.85	5.4	0.9384615384615385
 LocalEnergy_I1.1_1094	-31.4	-4.85	4.6	0.8671875
 LocalEnergy_I1.1_1095	-12.65	-8.65	2.5	0.9834710743801652
 LocalEnergy_I1.1_1096	-3.95	-9.85	4.4	0.6111111111111112
 LocalEnergy_I1.1_1097	-6.9	-20.6	1.513	0.8222222222222222
 LocalEnergy_I1.1_1098	-17.0	-2.2	5.4	0.9
 LocalEnergy_I1.1_1099	-16.15	-6.9	2.3	1.0
 LocalEnergy_I1.1_109	-7.6	-3.45	4.2	0.9494949494949495
 LocalEnergy_I1.1_10	-14.25	-6.7	3.4	0.6696428571428571
 LocalEnergy_I1.1_1100	-11.5	-12.5	4.1	0.7261904761904762
 LocalEnergy_I1.1_1101	-4.5	-19.9	6.0	0.6545454545454545
 LocalEnergy_I1.1_1102	-3.0	-10.9	3.7	0.9166666666666667
 LocalEnergy_I1.1_1103	-9.65	-9.4	5.3	0.7757575757575758
 LocalEnergy_I1.1_1104	-14.4	-6.45	3.0	1.0
 LocalEnergy_I1.1_1105	-5.1	-15.15	6.8	0.7152777777777777
 LocalEnergy_I1.1_1106	-18.1	-14.15	2.3	0.9285714285714285
 LocalEnergy_I1.1_1107	-7.7	-5.7	7.3	0.6464646464646464
 LocalEnergy_I1.1_1108	-11.0	-7.8	5.1	0.8016528925619835
 LocalEnergy_I1.1_1109	-12.7	-5.95	4.6	0.9333333333333333
 LocalEnergy_I1.1_110	-13.45	-4.5	4.1	0.6713286713286714
 LocalEnergy_I1.1_1110	-3.8	-9.55	5.3	0.6587301587301587
 LocalEnergy_I1.1_1111	-18.1	-15.5	3.0	0.9266666666666667
 LocalEnergy_I1.1_1112	-9.9	-16.85	7.5	0.9647435897435899
 LocalEnergy_I1.1_1113	-10.7	-8.25	2.9	0.6060606060606061
 LocalEnergy_I1.1_1114	-11.2	-7.7	3.7	0.9866666666666667
 LocalEnergy_I1.1_1115	-8.3	-13.3	7.3	0.9083333333333334
 LocalEnergy_I1.1_1116	-17.75	-4.5	4.6	0.6602564102564102
 LocalEnergy_I1.1_1117	-4.55	-15.17	2.7	0.6013986013986015
 LocalEnergy_I1.1_1118	-7.5	-11.8	5.4	0.562962962962963
 LocalEnergy_I1.1_1119	-10.9	-5.6	5.8	0.36363636363636365
 LocalEnergy_I1.1_111	-10.75	-9.6	5.3	0.9479166666666666
 LocalEnergy_I1.1_1121	-5.65	-18.45	5.2	0.7450980392156863
 LocalEnergy_I1.1_1122	-9.0	-15.5	7.3	0.6178571428571429
 LocalEnergy_I1.1_1123	-3.9	-9.55	6.1	0.6062500000000001
 LocalEnergy_I1.1_1124	-6.1	-8.8	7.5	0.7803030303030303
 LocalEnergy_I1.1_1125	-11.5	-13.25	3.9	0.8333333333333333
 LocalEnergy_I1.1_1126	-9.05	-5.5	4.7	0.60625
 LocalEnergy_I1.1_1127	-4.7	-6.15	5.1	0.7045454545454546
 LocalEnergy_I1.1_1128	-5.27	-3.95	5.8	0.8173076923076923
 LocalEnergy_I1.1_1129	-5.4	-8.0	5.4	0.65
 LocalEnergy_I1.1_112	-23.05	-3.9	3.9	0.9904761904761905
 LocalEnergy_I1.1_1130	-11.35	-4.15	4.1	0.4206349206349207
 LocalEnergy_I1.1_1131	-17.6	-7.0	5.4	1.0
 LocalEnergy_I1.1_1132	-21.95	-9.1	3.8	1.0
 LocalEnergy_I1.1_1133	-16.6	-7.45	2.6	1.0
 LocalEnergy_I1.1_1134	-5.2	-12.95	5.8	0.8303571428571428
 LocalEnergy_I1.1_1135	-11.2	-4.35	4.9	0.5416666666666667
 LocalEnergy_I1.1_1136	-11.5	-6.7	4.2	0.7283950617283951
 LocalEnergy_I1.1_1137	-8.2	-17.45	5.4	0.8
 LocalEnergy_I1.1_1138	-8.1	-4.55	4.6	0.948051948051948
 LocalEnergy_I1.1_1139	-5.6	-6.6	5.3	0.7514792899408284
 LocalEnergy_I1.1_113	-7.3	-5.25	6.1	0.505
 LocalEnergy_I1.1_1140	-3.95	-31.7	3.4	0.9553571428571429
 LocalEnergy_I1.1_1141	-12.05	-9.1	6.0	0.6777777777777778
 LocalEnergy_I1.1_1142	-5.7	-16.15	3.7	0.95
 LocalEnergy_I1.1_1143	-12.5	-6.9	6.5	0.6
 LocalEnergy_I1.1_1144	-15.8	-1.9	3.8	0.6198830409356725
 LocalEnergy_I1.1_1145	-2.0	-6.9	4.1	0.59375
 LocalEnergy_I1.1_1146	-10.85	-12.1	3.4	0.8154761904761905
 LocalEnergy_I1.1_1147	-6.57	-3.95	3.6	0.7000000000000001
 LocalEnergy_I1.1_1148	-8.0	-14.6	3.2	0.9242424242424242
 LocalEnergy_I1.1_1149	-10.35	-8.7	4.5	1.0
 LocalEnergy_I1.1_114	-24.4	-3.9	5.1	0.7333333333333333
 LocalEnergy_I1.1_1150	-8.45	-8.35	7.0	0.45
 LocalEnergy_I1.1_1151	-13.7	-12.9	3.0	0.982905982905983
 LocalEnergy_I1.1_1152	-17.95	-15.7	2.7	0.9285714285714286
 LocalEnergy_I1.1_1153	-10.5	-11.0	3.7	0.9500000000000001
 LocalEnergy_I1.1_1154	-6.5	-9.8	6.6	0.9603174603174603
 LocalEnergy_I1.1_1155	-5.65	-7.5	4.9	0.09523809523809526
 LocalEnergy_I1.1_1156	-19.25	-11.45	5.4	1.0
 LocalEnergy_I1.1_1157	-8.35	-11.7	3.7	1.0
 LocalEnergy_I1.1_1158	-9.9	-14.5	3.0	0.9600000000000001
 LocalEnergy_I1.1_1159	-3.45	-10.65	8.0	0.7666666666666666
 LocalEnergy_I1.1_115	-9.1	-31.1	5.1	1.0
 LocalEnergy_I1.1_1160	-10.65	-11.0	3.2	1.0
 LocalEnergy_I1.1_1161	-10.9	-7.2	4.2	0.8034188034188035
 LocalEnergy_I1.1_1162	-7.6	-9.15	6.0	0.7454545454545455
 LocalEnergy_I1.1_1163	-2.4	-5.3	4.1	0.25
 LocalEnergy_I1.1_1164	-19.35	-7.8	7.0	0.8875739644970414
 LocalEnergy_I1.1_1165	-8.35	-7.8	5.6	0.9752066115702479
 LocalEnergy_I1.1_1166	-6.35	-8.25	5.1	0.9571428571428572
 LocalEnergy_I1.1_1167	-8.2	-18.8	6.8	0.6730769230769231
 LocalEnergy_I1.1_1168	-22.2	-2.7	4.5	0.7564102564102564
 LocalEnergy_I1.1_1169	-2.2	-9.25	4.9	0.9382716049382716
 LocalEnergy_I1.1_116	-11.4	-4.35	6.5	0.4805194805194805
 LocalEnergy_I1.1_1170	-8.7	-10.7	6.0	0.762987012987013
 LocalEnergy_I1.1_1171	-2.0	-20.9	6.5	0.825
 LocalEnergy_I1.1_1172	-5.8	-17.9	3.9	0.9780219780219781
 LocalEnergy_I1.1_1173	-2.37	-20.3	4.5	0.9487179487179487
 LocalEnergy_I1.1_1174	-7.1	-3.25	4.4	0.41358024691358025
 LocalEnergy_I1.1_1175	-9.7	-3.9	7.5	0.7107438016528926
 LocalEnergy_I1.1_1176	-13.6	-8.9	3.0	0.975
 LocalEnergy_I1.1_1177	-20.4	-7.9	2.3	1.0
 LocalEnergy_I1.1_1178	-9.25	-13.85	6.8	0.9444444444444444
 LocalEnergy_I1.1_1179	-7.6	-10.05	3.0	0.9636363636363636
 LocalEnergy_I1.1_117	-5.3	-5.6	6.7	0.5151515151515151
 LocalEnergy_I1.1_1181	-9.25	-6.15	4.7	0.6420454545454545
 LocalEnergy_I1.1_1182	-14.15	-17.95	2.0	0.9411764705882353
 LocalEnergy_I1.1_1183	-13.6	-7.8	6.5	0.7166666666666667
 LocalEnergy_I1.1_1184	-8.55	-13.95	5.3	0.6493506493506493
 LocalEnergy_I1.1_1185	-11.1	-13.85	5.1	1.0
 LocalEnergy_I1.1_1186	-5.3	-8.35	4.4	0.5555555555555556
 LocalEnergy_I1.1_1187	-4.5	-10.0	3.9	0.9047619047619048
 LocalEnergy_I1.1_1188	-16.15	-10.0	8.0	0.9155844155844155
 LocalEnergy_I1.1_1189	-3.3	-11.85	5.4	0.8333333333333333
 LocalEnergy_I1.1_118	-3.3	-13.85	3.6	0.8361111111111111
 LocalEnergy_I1.1_1190	-10.75	-6.15	3.9	1.0
 LocalEnergy_I1.1_1191	-6.65	-14.15	4.4	1.0
 LocalEnergy_I1.1_1192	-5.95	-6.7	3.4	0.8611111111111112
 LocalEnergy_I1.1_1193	-11.65	-20.95	3.5	0.811111111111111
 LocalEnergy_I1.1_1194	-13.8	-16.15	2.6	0.8944444444444445
 LocalEnergy_I1.1_1195	-15.7	-5.1	4.5	0.9848484848484849
 LocalEnergy_I1.1_1196	-5.85	-1.8	6.1	0.36875
 LocalEnergy_I1.1_1197	-2.4	-8.5	3.7	0.4375
 LocalEnergy_I1.1_1198	-6.35	-6.65	5.6	0.83
 LocalEnergy_I1.1_1199	-10.8	-10.35	5.4	0.9818181818181818
 LocalEnergy_I1.1_119	-11.5	-2.4	7.7	0.48717948717948717
 LocalEnergy_I1.1_11	-9.25	-4.35	4.4	0.5722222222222222
 LocalEnergy_I1.1_1200	-6.9	-23.65	4.1	0.921875
 LocalEnergy_I1.1_1201	-20.0	-4.5	4.8	0.8388888888888889
 LocalEnergy_I1.1_1202	-10.1	-10.2	3.0	0.9583333333333333
 LocalEnergy_I1.1_1203	-6.2	-9.4	4.1	0.6346153846153846
 LocalEnergy_I1.1_1204	-3.95	-15.7	3.0	0.9666666666666666
 LocalEnergy_I1.1_1205	-20.2	-13.5	5.9	0.9703703703703703
 LocalEnergy_I1.1_1206	-9.1	-6.35	3.7	0.9444444444444445
 LocalEnergy_I1.1_1207	-5.8	-8.05	5.6	0.7818181818181817
 LocalEnergy_I1.1_1208	-2.9	-9.1	4.4	0.6825396825396826
 LocalEnergy_I1.1_1209	-5.5	-5.95	4.9	0.5428571428571428
 LocalEnergy_I1.1_120	-2.4	-15.95	8.7	0.8811188811188811
 LocalEnergy_I1.1_1210	-7.55	-14.8	4.6	1.0
 LocalEnergy_I1.1_1211	-4.4	-13.35	3.0	0.9
 LocalEnergy_I1.1_1212	-8.25	-7.5	3.8	0.5460526315789473
 LocalEnergy_I1.1_1213	-7.15	-9.8	8.0	0.7045454545454546
 LocalEnergy_I1.1_1214	-11.7	-2.4	4.6	1.0
 LocalEnergy_I1.1_1215	-17.6	-6.5	3.0	0.8833333333333334
 LocalEnergy_I1.1_1216	-15.4	-10.85	4.9	0.8106060606060606
 LocalEnergy_I1.1_1217	-10.5	-14.55	3.7	0.9558823529411764
 LocalEnergy_I1.1_1218	-9.0	-3.4	7.0	0.6490384615384616
 LocalEnergy_I1.1_1219	-12.5	-6.25	4.9	0.9487179487179487
 LocalEnergy_I1.1_121	-7.45	-6.15	4.6	0.8854166666666667
 LocalEnergy_I1.1_1220	-10.1	-7.95	4.0	1.0
 LocalEnergy_I1.1_1221	-6.7	-11.3	8.2	0.858974358974359
 LocalEnergy_I1.1_1222	-8.9	-13.2	4.4	0.9416666666666667
 LocalEnergy_I1.1_1223	-3.97	-5.85	4.6	0.8571428571428571
 LocalEnergy_I1.1_1224	-8.25	-3.3	8.7	0.7818181818181817
 LocalEnergy_I1.1_1225	-10.0	-14.4	3.7	0.9875
 LocalEnergy_I1.1_1226	-16.55	-6.85	6.1	0.8373015873015873
 LocalEnergy_I1.1_1227	-10.65	-7.6	2.5	0.9696969696969696
 LocalEnergy_I1.1_1228	-5.35	-5.6	1.513	0.8333333333333333
 LocalEnergy_I1.1_1229	-14.9	-4.85	4.9	0.5071428571428571
 LocalEnergy_I1.1_122	-2.37	-14.1	5.1	0.8671328671328671
 LocalEnergy_I1.1_1230	-25.5	-7.5	5.8	0.9916666666666667
 LocalEnergy_I1.1_1231	-20.3	-4.8	3.4	1.0
 LocalEnergy_I1.1_1232	-5.95	-6.7	6.0	0.10833333333333334
 LocalEnergy_I1.1_1233	-4.6	-25.65	4.1	0.7321428571428572
 LocalEnergy_I1.1_1234	-2.4	-14.6	4.4	0.8200000000000001
 LocalEnergy_I1.1_1235	-11.55	-16.15	6.8	0.7517482517482518
 LocalEnergy_I1.1_1236	-7.8	-10.7	7.5	0.7857142857142856
 LocalEnergy_I1.1_1237	-9.9	-6.6	5.8	0.7264957264957266
 LocalEnergy_I1.1_1238	-8.85	-15.05	7.5	0.9090909090909091
 LocalEnergy_I1.1_1239	-3.3	-9.35	5.4	0.5284090909090909
 LocalEnergy_I1.1_123	-1.77	-2.9	4.1	0.625
 LocalEnergy_I1.1_1240	-8.7	-9.0	6.0	0.45999999999999996
 LocalEnergy_I1.1_1241	-13.8	-7.45	7.3	0.5683760683760684
 LocalEnergy_I1.1_1242	-8.45	-14.7	4.2	0.9615384615384616
 LocalEnergy_I1.1_1243	-5.25	-22.0	6.6	0.9538461538461539
 LocalEnergy_I1.1_1244	-9.3	-6.75	3.7	0.9866666666666667
 LocalEnergy_I1.1_1245	-8.15	-10.55	8.0	0.8939393939393939
 LocalEnergy_I1.1_1246	-6.05	-8.55	6.5	0.59375
 LocalEnergy_I1.1_1247	-5.8	-5.6	3.2	0.9595959595959596
 LocalEnergy_I1.1_1248	-7.0	-6.6	5.1	0.7792207792207791
 LocalEnergy_I1.1_1249	-15.45	-7.7	4.2	1.0
 LocalEnergy_I1.1_124	-15.4	-5.5	5.1	1.0
 LocalEnergy_I1.1_1250	-2.0	-10.5	4.9	0.7916666666666667
 LocalEnergy_I1.1_1251	-14.0	-3.3	8.0	0.7107438016528925
 LocalEnergy_I1.1_1252	-5.25	-13.0	5.2	0.875
 LocalEnergy_I1.1_1253	-6.7	-14.05	5.3	0.9895833333333333
 LocalEnergy_I1.1_1254	-7.85	-7.6	5.6	0.7142857142857143
 LocalEnergy_I1.1_1255	-9.55	-6.35	3.2	0.9166666666666666
 LocalEnergy_I1.1_1256	-2.4	-16.0	6.8	0.7545454545454545
 LocalEnergy_I1.1_1257	-10.7	-12.4	3.3	1.0
 LocalEnergy_I1.1_1258	-12.05	-10.95	4.6	1.0
 LocalEnergy_I1.1_1259	-13.2	-9.6	5.8	0.9846153846153847
 LocalEnergy_I1.1_125	-2.37	-18.5	3.3	0.9305555555555556
 LocalEnergy_I1.1_1260	-5.7	-9.45	6.8	0.8461538461538463
 LocalEnergy_I1.1_1261	-10.85	-24.6	4.5	0.9313725490196079
 LocalEnergy_I1.1_1262	-13.15	-19.3	4.4	0.9910714285714286
 LocalEnergy_I1.1_1263	-1.9	-29.2	2.5	0.8482142857142857
 LocalEnergy_I1.1_1264	-2.4	-26.45	7.3	0.8785714285714286
 LocalEnergy_I1.1_1265	-11.05	-2.4	5.5	0.5133333333333333
 LocalEnergy_I1.1_1266	-5.5	-16.6	2.3	1.0
 LocalEnergy_I1.1_1267	-10.85	-16.25	3.4	0.8571428571428571
 LocalEnergy_I1.1_1268	-9.15	-5.6	4.4	1.0
 LocalEnergy_I1.1_1269	-5.2	-13.3	4.9	0.9181818181818181
 LocalEnergy_I1.1_126	-13.3	-2.1	3.9	0.9791666666666666
 LocalEnergy_I1.1_1270	-8.75	-1.57	3.4	0.9305555555555556
 LocalEnergy_I1.1_1271	-18.2	-10.9	4.5	0.9901960784313726
 LocalEnergy_I1.1_1272	-2.4	-8.65	4.1	0.9583333333333333
 LocalEnergy_I1.1_1273	-9.0	-7.5	6.0	0.56
 LocalEnergy_I1.1_1274	-5.75	-19.95	5.8	0.9166666666666666
 LocalEnergy_I1.1_1275	-14.6	-12.4	3.0	1.0
 LocalEnergy_I1.1_1276	-8.25	-19.35	3.9	0.8214285714285715
 LocalEnergy_I1.1_1277	-13.2	-12.7	3.4	1.0
 LocalEnergy_I1.1_1278	-9.75	-11.95	7.3	0.9230769230769231
 LocalEnergy_I1.1_1279	-15.2	-8.5	8.2	0.9652777777777777
 LocalEnergy_I1.1_127	-2.4	-17.75	5.8	0.6770833333333333
 LocalEnergy_I1.1_1280	-6.5	-7.25	3.4	0.9545454545454545
 LocalEnergy_I1.1_1281	-3.95	-16.5	4.5	0.9230769230769231
 LocalEnergy_I1.1_1282	-4.0	-7.35	4.8	0.6916666666666667
 LocalEnergy_I1.1_1283	-12.05	-14.7	5.2	0.9705882352941176
 LocalEnergy_I1.1_1284	-7.0	-7.15	5.1	0.9230769230769231
 LocalEnergy_I1.1_1285	-10.0	-13.0	3.2	1.0
 LocalEnergy_I1.1_1286	-10.75	-21.45	4.9	1.0
 LocalEnergy_I1.1_1287	-10.8	-4.35	7.5	0.7363636363636363
 LocalEnergy_I1.1_1288	-10.45	-15.35	7.3	0.641025641025641
 LocalEnergy_I1.1_1289	-5.7	-3.65	7.3	0.56
 LocalEnergy_I1.1_128	-13.3	-4.9	5.8	0.6805555555555556
 LocalEnergy_I1.1_1290	-9.65	-9.1	3.2	0.9428571428571428
 LocalEnergy_I1.1_1291	-10.25	-18.2	3.9	0.7396449704142012
 LocalEnergy_I1.1_1292	-11.35	-10.85	5.2	0.9803921568627451
 LocalEnergy_I1.1_1293	-16.9	-3.75	4.9	0.5882352941176471
 LocalEnergy_I1.1_1294	-7.0	-15.55	4.5	0.986111111111111
 LocalEnergy_I1.1_1295	-2.37	-11.0	5.1	0.8429752066115702
 LocalEnergy_I1.1_1296	-13.4	-4.05	6.1	0.7175925925925926
 LocalEnergy_I1.1_1297	-4.4	-4.3	7.3	0.2777777777777778
 LocalEnergy_I1.1_1298	-7.8	-15.35	3.7	0.9636363636363636
 LocalEnergy_I1.1_1299	-19.1	-6.0	3.4	0.9903846153846154
 LocalEnergy_I1.1_129	-2.37	-9.8	8.0	0.8454545454545455
 LocalEnergy_I1.1_12	-21.25	-1.9	5.3	0.8522727272727273
 LocalEnergy_I1.1_1300	-4.7	-14.55	7.3	0.93
 LocalEnergy_I1.1_1301	-10.0	-14.9	7.3	0.9363636363636363
 LocalEnergy_I1.1_1302	-10.3	-11.1	3.2	1.0
 LocalEnergy_I1.1_1303	-9.7	-9.0	3.7	0.982905982905983
 LocalEnergy_I1.1_1304	-3.3	-18.8	6.1	0.9333333333333333
 LocalEnergy_I1.1_1305	-11.6	-19.85	2.6	0.9479166666666667
 LocalEnergy_I1.1_1306	-8.25	-27.75	4.5	0.7604166666666667
 LocalEnergy_I1.1_1307	-13.5	-18.0	2.3	0.9600000000000001
 LocalEnergy_I1.1_1308	-22.75	-4.3	7.0	0.6025641025641026
 LocalEnergy_I1.1_1309	-30.0	-12.75	2.3	0.9558823529411764
 LocalEnergy_I1.1_130	-6.35	-14.55	7.5	0.7575757575757576
 LocalEnergy_I1.1_1310	-15.35	-8.95	1.0	0.9764705882352941
 LocalEnergy_I1.1_1311	-19.55	-11.65	4.6	0.9523809523809526
 LocalEnergy_I1.1_1312	-8.75	-5.4	4.9	0.8333333333333334
 LocalEnergy_I1.1_1313	-14.2	-10.0	3.2	1.0
 LocalEnergy_I1.1_1314	-2.4	-6.5	6.5	0.5923076923076923
 LocalEnergy_I1.1_1315	-6.5	-2.5	5.1	0.9318181818181819
 LocalEnergy_I1.1_1316	-11.8	-1.9	7.3	0.8253968253968254
 LocalEnergy_I1.1_1317	-3.5	-11.5	3.7	0.9791666666666666
 LocalEnergy_I1.1_1318	-9.7	-2.9	3.7	0.96
 LocalEnergy_I1.1_1319	-10.45	-10.0	5.8	0.9220779220779219
 LocalEnergy_I1.1_131	-2.4	-14.25	2.6	1.0
 LocalEnergy_I1.1_1320	-18.5	-4.85	7.3	0.5384615384615385
 LocalEnergy_I1.1_1321	-5.85	-11.9	3.3	0.9479166666666666
 LocalEnergy_I1.1_1322	-8.1	-11.75	6.0	0.5535714285714286
 LocalEnergy_I1.1_1323	-3.65	-14.2	5.1	0.8923076923076922
 LocalEnergy_I1.1_1324	-3.3	-13.5	3.7	0.8454545454545455
 LocalEnergy_I1.1_1325	-9.0	-6.25	6.0	0.8968253968253969
 LocalEnergy_I1.1_1326	-12.15	-14.95	5.6	0.9805194805194805
